UniqueSite,Site_Lat,Site_Long,ReefCluster,Larger,Biomass_above20cm,Protection,DepthCategory,CleanHabitat,CensusMethod,Total_sampling_area,Regional_population_growth,Ocean_prod,Climate_stress,HDI,Larger_pop_size,Reef_fish_landings_per_km2,MPAage3,NTZarea,Geographic_Basin,Biomass...some.families,Local,Atoll,Gini_lastdata,EPI_2018,GDP,Control_corruption,Rule_of_law,Sedimentation,Annual_tourist_number,Locality,gravtot5001,gravtot5002,gravtot5003,Trait_diversity,Scraping_potential,MPAage
181,-1.2303,129.7029333,RC_19,Indonesia,791.4169655,Restricted,4-10m,Slope,Standard belt transect,750,24.37674521,0.361,0.848709838,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,1033.768607,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.500418445,3788,Indonesia,3419.126199,4.222379648,0.036361122,4.480002171,363.3995805,0
182,1.61304,118.4091,RC_20,Indonesia,179.163546,Restricted,0-4m,Crest,Standard belt transect,750,21.21782248,0.388,0.795753555,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,286.8620693,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.599325693,3788,NA,8584.337988,9.276119856,0.015168796,3.420769991,370.2424017,0
187,-5.89937,110.24403,RC_21,Indonesia,137.0915384,Restricted,0-4m,Slope,Standard belt transect,1000,5.009320754,0.33,0.830752104,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,251.1091595,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.404040222,3788,Indonesia,198796.3821,326.2928631,0.585578746,1.999357385,480.2442935,0
188,-5.89937,110.24403,RC_21,Indonesia,87.2990552,Restricted,4-10m,Slope,Standard belt transect,1000,5.009320754,0.33,0.830752104,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,79.27318954,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.404040222,3788,Indonesia,198796.3821,326.2928631,0.585578746,3.042660991,26.1447354,0
197,-5.804122,110.149306,RC_23,Indonesia,90.01356757,Restricted,0-4m,Slope,Standard belt transect,1000,5.011215709,0.318,0.828430924,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,136.719761,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.394439003,3788,Indonesia,188637.6517,288.3585233,0.474302612,1.577254517,201.2106862,0
198,-5.804122,110.149306,RC_23,Indonesia,60.09196909,Restricted,4-10m,Slope,Standard belt transect,1000,5.011215709,0.318,0.828430924,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,90.60193195,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.394439003,3788,Indonesia,188637.6517,288.3585233,0.474302612,2.187684009,90.49485887,0
201,2.3091,118.25426,RC_9,Indonesia,33.06882879,Restricted,0-4m,Slope,Standard belt transect,750,21.21658193,0.456,0.794524012,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,152.5623776,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.629946548,3788,NA,8531.362964,7.978386282,0.012100303,2.026684634,114.282525,0
228,-5.820365,110.511869,RC_65,Indonesia,1.784930302,Restricted,0-4m,Flat,Standard belt transect,1000,5.009822719,0.324,0.826358791,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,32.65005778,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.408657948,3788,Indonesia,195827.9792,322.2676873,0.615973113,1.837742432,28.48005463,0
229,-5.820365,110.511869,RC_65,Indonesia,168.711162,Restricted,4-10m,Flat,Standard belt transect,1000,5.009822719,0.324,0.826358791,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,234.6901754,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.408657948,3788,Indonesia,195827.9792,322.2676873,0.615973113,2.738714856,75.82995129,0
294,1.45824219,125.2426703,RC_7,Indonesia,47.8970805,Fished,4-10m,Slope,Standard belt transect,750,8.642648098,0.194,0.848466905,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,97.96097574,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.29648877,3788,Indonesia,20129.55185,222.7087966,7.566361995,2.604898708,30.82537838,0
